"id","name","value","units","description"
"4874bd650966b4904c40924034482f2e","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"4874bd650966b4904c40924034482f2e","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"4874bd650966b4904c40924034482f2e","ensemble_member_number",52,"Numeric","NA"
"4874bd650966b4904c40924034482f2e","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"4874bd650966b4904c40924034482f2e","bearing_or_azimuth","[180.0, 270.0]","deg","NA"
"4874bd650966b4904c40924034482f2e","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"33c64ea71df0436c66bd265131c2a78d","centre",98,"Common CODE TABLE C-1","NA"
"33c64ea71df0436c66bd265131c2a78d","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"33c64ea71df0436c66bd265131c2a78d","storm_identifier","07S","CCITT IA5","07S"
"33c64ea71df0436c66bd265131c2a78d","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"33c64ea71df0436c66bd265131c2a78d","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"33c64ea71df0436c66bd265131c2a78d","ensemble_member_number",52,"Numeric","NA"
"33c64ea71df0436c66bd265131c2a78d","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"33c64ea71df0436c66bd265131c2a78d","bearing_or_azimuth","[270.0, 0.0]","deg","NA"
"33c64ea71df0436c66bd265131c2a78d","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"de3908d6252c7ea7c8658f84e595a3ee","centre",98,"Common CODE TABLE C-1","NA"
"de3908d6252c7ea7c8658f84e595a3ee","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"de3908d6252c7ea7c8658f84e595a3ee","storm_identifier","07S","CCITT IA5","07S"
"de3908d6252c7ea7c8658f84e595a3ee","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"de3908d6252c7ea7c8658f84e595a3ee","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"de3908d6252c7ea7c8658f84e595a3ee","ensemble_member_number",52,"Numeric","NA"
"de3908d6252c7ea7c8658f84e595a3ee","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"de3908d6252c7ea7c8658f84e595a3ee","bearing_or_azimuth","[270.0, 0.0]","deg","NA"
"de3908d6252c7ea7c8658f84e595a3ee","meteorological_attribute_significance",1,"CODE TABLE","Storm centre"
"de3908d6252c7ea7c8658f84e595a3ee","time_significance",4,"CODE TABLE","Forecast"
"092b59b0551d9d8bbb751bff0719d4fa","centre",98,"Common CODE TABLE C-1","NA"
"092b59b0551d9d8bbb751bff0719d4fa","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"092b59b0551d9d8bbb751bff0719d4fa","storm_identifier","07S","CCITT IA5","07S"
"092b59b0551d9d8bbb751bff0719d4fa","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"092b59b0551d9d8bbb751bff0719d4fa","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"092b59b0551d9d8bbb751bff0719d4fa","ensemble_member_number",52,"Numeric","NA"
"092b59b0551d9d8bbb751bff0719d4fa","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"092b59b0551d9d8bbb751bff0719d4fa","bearing_or_azimuth","[270.0, 0.0]","deg","NA"
"092b59b0551d9d8bbb751bff0719d4fa","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"092b59b0551d9d8bbb751bff0719d4fa","time_significance",4,"CODE TABLE","Forecast"
"62c9a03fdd97b37ef75395c4533a530a","centre",98,"Common CODE TABLE C-1","NA"
"62c9a03fdd97b37ef75395c4533a530a","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"62c9a03fdd97b37ef75395c4533a530a","storm_identifier","07S","CCITT IA5","07S"
"62c9a03fdd97b37ef75395c4533a530a","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"62c9a03fdd97b37ef75395c4533a530a","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"62c9a03fdd97b37ef75395c4533a530a","ensemble_member_number",52,"Numeric","NA"
"62c9a03fdd97b37ef75395c4533a530a","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"62c9a03fdd97b37ef75395c4533a530a","bearing_or_azimuth","[0.0, 90.0]","deg","NA"
"62c9a03fdd97b37ef75395c4533a530a","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"62c9a03fdd97b37ef75395c4533a530a","time_significance",4,"CODE TABLE","Forecast"
"2dda76a6e0d8f6fc138fcea74a0d8447","centre",98,"Common CODE TABLE C-1","NA"
"2dda76a6e0d8f6fc138fcea74a0d8447","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"2dda76a6e0d8f6fc138fcea74a0d8447","storm_identifier","07S","CCITT IA5","07S"
"2dda76a6e0d8f6fc138fcea74a0d8447","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"2dda76a6e0d8f6fc138fcea74a0d8447","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"2dda76a6e0d8f6fc138fcea74a0d8447","ensemble_member_number",52,"Numeric","NA"
"2dda76a6e0d8f6fc138fcea74a0d8447","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"2dda76a6e0d8f6fc138fcea74a0d8447","bearing_or_azimuth","[90.0, 180.0]","deg","NA"
"2dda76a6e0d8f6fc138fcea74a0d8447","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"2dda76a6e0d8f6fc138fcea74a0d8447","time_significance",4,"CODE TABLE","Forecast"
"7e4726a0908c9d69b8bc5321127d2524","centre",98,"Common CODE TABLE C-1","NA"
"7e4726a0908c9d69b8bc5321127d2524","generating_application",1,"CODE TABLE defined by originating/generating centre","NA"
"7e4726a0908c9d69b8bc5321127d2524","storm_identifier","07S","CCITT IA5","07S"
"7e4726a0908c9d69b8bc5321127d2524","long_storm_name","    VERNON","CCITT IA5","    VERNON"
"7e4726a0908c9d69b8bc5321127d2524","technique_for_making_up_initial_perturbations",2,"CODE TABLE","Singular vectors"
"7e4726a0908c9d69b8bc5321127d2524","ensemble_member_number",52,"Numeric","NA"
"7e4726a0908c9d69b8bc5321127d2524","ensemble_forecast_type",0,"CODE TABLE","Unperturbed high-resolution control forecast"
"7e4726a0908c9d69b8bc5321127d2524","bearing_or_azimuth","[180.0, 270.0]","deg","NA"
"7e4726a0908c9d69b8bc5321127d2524","meteorological_attribute_significance",3,"CODE TABLE","Location of maximum wind"
"7e4726a0908c9d69b8bc5321127d2524","time_significance",4,"CODE TABLE","Forecast"
