"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"4e665dcfee294795b8fa3c051b4dd0d6","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",14.7,"Celsius","NA","2022-03-08T13:34:04+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"167e8fe5e10f4e05b17c201e8937bfc1","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",4.1,"Celsius","NA","2022-03-08T13:34:04+0","7c3133632ec1b4f1422d759c5c12fa26",15
"9ac8af061b234180a40a678733b866ad","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",10.7,"Celsius","NA","2022-03-08T13:34:04+0","35517ffca8eb8afca8b1e8140c51816f",17
"6632181f6e8849d98d34103449e2998b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",14.0,"kg m-2","NA","2022-03-08T13:34:04+0","0eaf7264a090d3487d6f4422c5306350",21
"dfd58157475e460ead69912416e51ffe","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:04+0","0eaf7264a090d3487d6f4422c5306350",22
"76355cf6dbe54656aa419ce5b6b52139","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:04+0","0eaf7264a090d3487d6f4422c5306350",23
"f3d6e4f4a81e42fd90de5bd3be729d4b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",4.3,"Celsius","NA","2022-03-08T13:34:04+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"97a31ade9be8414fa8f0ec84d5a39582","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",-1.3,"Celsius","NA","2022-03-08T13:34:04+0","7c3133632ec1b4f1422d759c5c12fa26",30
"ee4a6685a8d84343bd1a82f71768081d","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",1.1,"Celsius","NA","2022-03-08T13:34:04+0","35517ffca8eb8afca8b1e8140c51816f",32
"3b8d438cf0cf4ce8951784ab14ddb4a6","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-2","0-20000-0-47409","Feature","Point","[144.27833, 44.01666, 37.6]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",0.0,"kg m-2","NA","2022-03-08T13:34:04+0","0eaf7264a090d3487d6f4422c5306350",36
