"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"279e732e487a4161ab109f5439194be7","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",14.2,"Celsius","NA","2022-03-08T13:34:19+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"12844374a1c6467abfeeb1b958636fcc","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",6.6,"Celsius","NA","2022-03-08T13:34:19+0","7c3133632ec1b4f1422d759c5c12fa26",15
"3ba5c1507aed4e8a94d5c6195ae8dac6","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",10.1,"Celsius","NA","2022-03-08T13:34:19+0","35517ffca8eb8afca8b1e8140c51816f",17
"dcf3717ab414404c85cbd897dcf0e2d8","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",1.0,"kg m-2","NA","2022-03-08T13:34:19+0","0eaf7264a090d3487d6f4422c5306350",21
"bb90ecc77dbb4cb38dd8bd880af44e78","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:19+0","0eaf7264a090d3487d6f4422c5306350",22
"c70eb5bdc7204cbc91e823ad00040f7d","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:19+0","0eaf7264a090d3487d6f4422c5306350",23
"0d0d3a2cf8cb4fd483ca45c80bd4d95f","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",11.2,"Celsius","NA","2022-03-08T13:34:19+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"1862b8649b1c43b68a68e1edee0a633c","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",4.2,"Celsius","NA","2022-03-08T13:34:19+0","7c3133632ec1b4f1422d759c5c12fa26",30
"b127c89c4e0f4fdb90994d353cdae3fe","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",7.4,"Celsius","NA","2022-03-08T13:34:19+0","35517ffca8eb8afca8b1e8140c51816f",32
"683990782eda488184a53599382698c4","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-42","0-20000-0-47891","Feature","Point","[134.05333, 34.31833, 9.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",0.0,"kg m-2","NA","2022-03-08T13:34:19+0","0eaf7264a090d3487d6f4422c5306350",36
