"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"c74c7ca2e19e4c27b0b6cf2e462a795e","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",27.5,"Celsius","NA","2022-03-08T13:34:22+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"b741cd42f4e54df791b683206821a0a3","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",24.7,"Celsius","NA","2022-03-08T13:34:22+0","7c3133632ec1b4f1422d759c5c12fa26",15
"92865bc3704a4867a2f04fc03c80a194","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",26.2,"Celsius","NA","2022-03-08T13:34:22+0","35517ffca8eb8afca8b1e8140c51816f",17
"c6ff9e9485a7410893cdd31bbae61847","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",-0.1,"kg m-2","NA","2022-03-08T13:34:22+0","0eaf7264a090d3487d6f4422c5306350",21
"7ed718a067aa422baa70aba20ab062b6","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",29.2,"Celsius","NA","2022-03-08T13:34:22+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"6d75a9f8707044b1a5930e65decc7384","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",26.1,"Celsius","NA","2022-03-08T13:34:22+0","7c3133632ec1b4f1422d759c5c12fa26",30
"626e2d4d425346a1b6cb38abbfbd474d","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",27.2,"Celsius","NA","2022-03-08T13:34:22+0","35517ffca8eb8afca8b1e8140c51816f",32
"041323f864844affb808963017acf21e","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",-0.1,"kg m-2","NA","2022-03-08T13:34:22+0","0eaf7264a090d3487d6f4422c5306350",36
"3c2824d9fdb4463cac7eebbfef7d3f99","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","air_temperature",29.1,"Celsius","NA","2022-03-08T13:34:22+0","a44e236f5dfb5d5fc5046bfa6eb2f477",43
"72d18bd95a2f4ee5ae31a12819b64206","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-51","0-20000-0-47991","Feature","Point","[153.98333, 24.28833, 7.1]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","air_temperature",25.9,"Celsius","NA","2022-03-08T13:34:22+0","7c3133632ec1b4f1422d759c5c12fa26",45
