"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"78f786b743ae411e97ec97fe016a35f4","A_IOBH03LFPW081100_C_EDZW_20220308112132_98582148-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T10:40:00Z","duration_of_wave_record",2400.0,"s","NA","2022-03-08T14:41:45+0","4dc9e7e0489371a7d1d0afd34fb554b5",32
"cfa0e11481a94e51aa3056898a82607b","A_IOBH03LFPW081100_C_EDZW_20220308112132_98582148-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T10:40:00Z","significant_wave_height",0.7000000000000001,"m","NA","2022-03-08T14:41:45+0","4dc9e7e0489371a7d1d0afd34fb554b5",33
"a7e09856b3ed40fcbc658efa103c7d8a","A_IOBH03LFPW081100_C_EDZW_20220308112132_98582148-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T10:40:00Z","maximum_wave_height",1.2,"m","NA","2022-03-08T14:41:45+0","4dc9e7e0489371a7d1d0afd34fb554b5",34
"d0258d0ac721497c91e5f4509c8a9a55","A_IOBH03LFPW081100_C_EDZW_20220308112132_98582148-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T10:40:00Z","average_wave_period",6.0,"s","NA","2022-03-08T14:41:45+0","4dc9e7e0489371a7d1d0afd34fb554b5",35
