"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"1405d633d28f4ffc9435db2679034ea3","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","non_coordinate_pressure",1000.0,"hPa","NA","2022-03-08T13:36:05+0","b620f20671d0622f07ad3adcb9100db3",13
"8000f43acc224922b4244a754c94dc77","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","pressure_reduced_to_mean_sea_level",1000.0,"hPa","NA","2022-03-08T13:36:05+0","b620f20671d0622f07ad3adcb9100db3",14
"8a5433d1929847f5bef73506a566525b","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","3hour_pressure_change",0.0,"hPa","NA","2022-03-08T13:36:05+0","b620f20671d0622f07ad3adcb9100db3",15
"17899c699d5143679e6a26f61658ea3c","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","characteristic_of_pressure_tendency",0.0,"CODE TABLE","Increasing, then decreasing; atmospheric pressure the same or higher than three hours ago","2022-03-08T13:36:05+0","b620f20671d0622f07ad3adcb9100db3",16
"b49e1da42dfb4bee8ecbef82fa36a784","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","air_temperature",13.0,"Celsius","NA","2022-03-08T13:36:05+0","ed2ed1e4b2f9c19150834f8c1d4c7164",19
"835ec6c857e94fb6be1a26dd8b40ddde","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T10:00:00Z","relative_humidity",69.0,"%","NA","2022-03-08T13:36:05+0","ed2ed1e4b2f9c19150834f8c1d4c7164",23
"551eadfaff914204bf00b1731e206bb0","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T09:50:00Z/2022-02-17T10:00:00Z","wind_direction",331.0,"deg","NA","2022-03-08T13:36:05+0","7dae32df8479f2013d4d4ca02114b5cc",90
"b257c72a31f9483ebd219c3d4dd48de7","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T09:50:00Z/2022-02-17T10:00:00Z","wind_speed",11.0,"m/s","NA","2022-03-08T13:36:05+0","7dae32df8479f2013d4d4ca02114b5cc",91
"028fc4e105764260966a13dcf4cabb6c","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T09:50:00Z/2022-02-17T10:00:00Z","maximum_wind_gust_direction",322.0,"deg","NA","2022-03-08T13:36:05+0","b99e5cce6c9d691dad279ceb99c5ccb2",94
"e423dd30dcb34cb0b42ab38b7f5d0860","A_ISSX01LEMM171000_C_EDZW_20220217100401_77350593-0","0-20004-0-GMHQL8E","Feature","Point","[-70.72, -53.31, 16.5]","2022-02-17T09:50:00Z/2022-02-17T10:00:00Z","maximum_wind_gust_speed",14.3,"m/s","NA","2022-03-08T13:36:05+0","b99e5cce6c9d691dad279ceb99c5ccb2",95
