"id","name","value","units","description"
"eceb42e1558a0c2260ac5c07b5655ac4","direction_of_motion_of_moving_observing_platform",225,"deg","NA"
"eceb42e1558a0c2260ac5c07b5655ac4","moving_observing_platform_speed",9,"m/s","NA"
"eceb42e1558a0c2260ac5c07b5655ac4","station_type",1,"CODE TABLE","Manned"
"fc254129a8450f05ddeaa50ef451fe4f","direction_of_motion_of_moving_observing_platform",225,"deg","NA"
"fc254129a8450f05ddeaa50ef451fe4f","moving_observing_platform_speed",9,"m/s","NA"
"fc254129a8450f05ddeaa50ef451fe4f","station_type",1,"CODE TABLE","Manned"
"fc254129a8450f05ddeaa50ef451fe4f","vertical_significance_surface_observations",7,"CODE TABLE","Low cloud"
"fb9514ca1c61567fcbab9a9857144822","direction_of_motion_of_moving_observing_platform",225,"deg","NA"
"fb9514ca1c61567fcbab9a9857144822","moving_observing_platform_speed",9,"m/s","NA"
"fb9514ca1c61567fcbab9a9857144822","station_type",1,"CODE TABLE","Manned"
"fb9514ca1c61567fcbab9a9857144822","method_of_water_temperature_and_or_or_salinity_measurement",0,"CODE TABLE","Ship intake"
"d141696b2f636c683552f1f0b1456b50","direction_of_motion_of_moving_observing_platform",225,"deg","NA"
"d141696b2f636c683552f1f0b1456b50","moving_observing_platform_speed",9,"m/s","NA"
"d141696b2f636c683552f1f0b1456b50","station_type",1,"CODE TABLE","Manned"
"d141696b2f636c683552f1f0b1456b50","method_of_water_temperature_and_or_or_salinity_measurement",0,"CODE TABLE","Ship intake"
"d141696b2f636c683552f1f0b1456b50","instrumentation_for_wind_measurement",4,"FLAG TABLE","NA"
"d141696b2f636c683552f1f0b1456b50","time_significance",2,"CODE TABLE","Time averaged (see Note 1)"
