"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"be58bddb24364aabb622ee3bb42da448","A_IOBH03LFPW081300_C_EDZW_20220308132131_98654791-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T12:40:00Z","duration_of_wave_record",2400.0,"s","NA","2022-03-08T14:41:49+0","4dc9e7e0489371a7d1d0afd34fb554b5",32
"daed5084f89045058590abfbbd165868","A_IOBH03LFPW081300_C_EDZW_20220308132131_98654791-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T12:40:00Z","significant_wave_height",0.5,"m","NA","2022-03-08T14:41:49+0","4dc9e7e0489371a7d1d0afd34fb554b5",33
"3b29d897223f419a8c0ca4c4f08802e4","A_IOBH03LFPW081300_C_EDZW_20220308132131_98654791-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T12:40:00Z","maximum_wave_height",0.9,"m","NA","2022-03-08T14:41:49+0","4dc9e7e0489371a7d1d0afd34fb554b5",34
"2129494c8ffb4010845fd6f280ad3887","A_IOBH03LFPW081300_C_EDZW_20220308132131_98654791-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T12:40:00Z","average_wave_period",6.0,"s","NA","2022-03-08T14:41:49+0","4dc9e7e0489371a7d1d0afd34fb554b5",35
