"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"b535bdc7ba1145399a654db61ffcf500","A_IOBH03LFPW080500_C_EDZW_20220308052201_98336694-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T04:40:00Z","duration_of_wave_record",2400.0,"s","NA","2022-03-08T14:41:37+0","4dc9e7e0489371a7d1d0afd34fb554b5",32
"376a9472a6db4032be720bc8b9d964b1","A_IOBH03LFPW080500_C_EDZW_20220308052201_98336694-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T04:40:00Z","significant_wave_height",0.5,"m","NA","2022-03-08T14:41:37+0","4dc9e7e0489371a7d1d0afd34fb554b5",33
"9233ebf0462d4dc782247f92a7f86f89","A_IOBH03LFPW080500_C_EDZW_20220308052201_98336694-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T04:40:00Z","maximum_wave_height",0.9,"m","NA","2022-03-08T14:41:37+0","4dc9e7e0489371a7d1d0afd34fb554b5",34
"d207810ebf4b4ebd88e14cf35e98f271","A_IOBH03LFPW080500_C_EDZW_20220308052201_98336694-0","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-08T04:40:00Z","average_wave_period",7.0,"s","NA","2022-03-08T14:41:37+0","4dc9e7e0489371a7d1d0afd34fb554b5",35
