"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"396f8b47681c4811873e9dcbc9635854","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",15.1,"Celsius","NA","2022-03-08T13:34:09+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"67e45d4b94934b63a1b5be2772c4e654","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",4.4,"Celsius","NA","2022-03-08T13:34:09+0","7c3133632ec1b4f1422d759c5c12fa26",15
"d1807e4df0564245bdae6afc5babfe4b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",9.9,"Celsius","NA","2022-03-08T13:34:09+0","35517ffca8eb8afca8b1e8140c51816f",17
"01a80aa27a28462fabb6b71ccf8f2879","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",22.0,"kg m-2","NA","2022-03-08T13:34:09+0","0eaf7264a090d3487d6f4422c5306350",21
"334d567cee4c4fdf89057a5bbda3ad13","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:09+0","0eaf7264a090d3487d6f4422c5306350",22
"025aa9ac674648dcb1276c10cfe551f7","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:09+0","0eaf7264a090d3487d6f4422c5306350",23
"320156dcff3547528f848311ef46d6dc","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",9.5,"Celsius","NA","2022-03-08T13:34:09+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"60aec71e48214ecf8d5d4facd2eea1de","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",2.7,"Celsius","NA","2022-03-08T13:34:09+0","7c3133632ec1b4f1422d759c5c12fa26",30
"98253798307542888121a043f281a63c","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",5.3,"Celsius","NA","2022-03-08T13:34:09+0","35517ffca8eb8afca8b1e8140c51816f",32
"ec963a6af72846bf96054560a3cfe721","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-15","0-20000-0-47604","Feature","Point","[139.01833, 37.89333, 4.1]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",2.0,"kg m-2","NA","2022-03-08T13:34:09+0","0eaf7264a090d3487d6f4422c5306350",36
