"id","name","value","units","description"
"e18b01f5ded11b0065dc22f4ca8c998e","station_or_site_name","NAMITAMBO","CCITT IA5","NAMITAMBO"
"e18b01f5ded11b0065dc22f4ca8c998e","station_type",0,"CODE TABLE","Automatic"
"e18b01f5ded11b0065dc22f4ca8c998e","height_of_barometer_above_mean_sea_level",807.0,"m","NA"
"226087137fd8a9f7b7b0e90b1985492d","station_or_site_name","NAMITAMBO","CCITT IA5","NAMITAMBO"
"226087137fd8a9f7b7b0e90b1985492d","station_type",0,"CODE TABLE","Automatic"
"226087137fd8a9f7b7b0e90b1985492d","height_of_barometer_above_mean_sea_level",807.0,"m","NA"
"226087137fd8a9f7b7b0e90b1985492d","height_of_sensor_above_local_ground_or_deck_of_marine_platform",1.5,"m","NA"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","station_or_site_name","NAMITAMBO","CCITT IA5","NAMITAMBO"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","station_type",0,"CODE TABLE","Automatic"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","instrumentation_for_wind_measurement",0,"FLAG TABLE","NA"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","height_of_barometer_above_mean_sea_level",807.0,"m","NA"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","height_of_sensor_above_local_ground_or_deck_of_marine_platform",2.0,"m","NA"
"9bf7c5ff54a7c95a6e0dae4dc8b8baf8","time_significance",2,"CODE TABLE","Time averaged (see Note 1)"
"6d0933ff0a93e894702a61f73c579fd6","station_or_site_name","NAMITAMBO","CCITT IA5","NAMITAMBO"
"6d0933ff0a93e894702a61f73c579fd6","station_type",0,"CODE TABLE","Automatic"
"6d0933ff0a93e894702a61f73c579fd6","instrumentation_for_wind_measurement",0,"FLAG TABLE","NA"
"6d0933ff0a93e894702a61f73c579fd6","height_of_barometer_above_mean_sea_level",807.0,"m","NA"
"6d0933ff0a93e894702a61f73c579fd6","height_of_sensor_above_local_ground_or_deck_of_marine_platform",2.0,"m","NA"
"25aa145386bec0d105edbe230e0b9861","station_or_site_name","NAMITAMBO","CCITT IA5","NAMITAMBO"
"25aa145386bec0d105edbe230e0b9861","station_type",0,"CODE TABLE","Automatic"
"25aa145386bec0d105edbe230e0b9861","instrumentation_for_wind_measurement",0,"FLAG TABLE","NA"
"25aa145386bec0d105edbe230e0b9861","height_of_barometer_above_mean_sea_level",807.0,"m","NA"
