"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"7db254a2e12f42629fea92be6f7a12f8","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",13.6,"Celsius","NA","2022-03-08T13:34:06+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"77bf96b5bc8f4afc8379f67905077b49","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",4.1,"Celsius","NA","2022-03-08T13:34:06+0","7c3133632ec1b4f1422d759c5c12fa26",15
"c1b27193177d42fdb8aa9029e4e3b249","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",9.9,"Celsius","NA","2022-03-08T13:34:06+0","35517ffca8eb8afca8b1e8140c51816f",17
"032639729db14df8b38efa129934d849","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",27.0,"kg m-2","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",21
"03115dc4416b4ef3b41fdae7337d7f21","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",22
"87171598a26b41e89d78ba9c54ebc042","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",23
"2420565dfb0b41bab8b51aef0c9fa654","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",5.1,"Celsius","NA","2022-03-08T13:34:06+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"8c1ad122c588441fbdf93fbc11ac8c84","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",-0.9,"Celsius","NA","2022-03-08T13:34:06+0","7c3133632ec1b4f1422d759c5c12fa26",30
"f2b905ff9f174d198b5073191c47b29b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",1.8,"Celsius","NA","2022-03-08T13:34:06+0","35517ffca8eb8afca8b1e8140c51816f",32
"2f98328d4b7146be869dc72860c16dbc","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",3.5,"kg m-2","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",36
"b61aa3346c384fb98652798e9c814400","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",37
"47c72429347b4449bac908ab57f5b7be","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",38
"1c28c432dfbe4842ab33d4a0382c53c5","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","air_temperature",12.2,"Celsius","NA","2022-03-08T13:34:06+0","a44e236f5dfb5d5fc5046bfa6eb2f477",43
"94900487d27d4baaba49fbf37e7dc822","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","air_temperature",1.5,"Celsius","NA","2022-03-08T13:34:06+0","7c3133632ec1b4f1422d759c5c12fa26",45
"47a7b4e48b2e43d2a3d78c866b2366bc","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","air_temperature",8.9,"Celsius","NA","2022-03-08T13:34:06+0","35517ffca8eb8afca8b1e8140c51816f",47
"8077b7f4f84344c58b2a92b51122f05a","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","total_accumulated_precipitation",-0.1,"kg m-2","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",51
"31ce0e5bf21842c89de047f064e59da3","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",52
"bfd88469679149c4a451f2801c2874b8","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-03T00:00:00Z/2021-12-04T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",53
"b059f4358fbc4e2982621a52b1e7d8ab","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","air_temperature",7.7,"Celsius","NA","2022-03-08T13:34:06+0","a44e236f5dfb5d5fc5046bfa6eb2f477",58
"d0a4254842354fd687c2f0714a2317e0","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","air_temperature",-1.5,"Celsius","NA","2022-03-08T13:34:06+0","7c3133632ec1b4f1422d759c5c12fa26",60
"b16158ae5e034b249c2538f3193146e3","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","air_temperature",2.8,"Celsius","NA","2022-03-08T13:34:06+0","35517ffca8eb8afca8b1e8140c51816f",62
"0f9b19dd05ad43bf8faac9f7a030e177","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","total_accumulated_precipitation",0.0,"kg m-2","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",66
"a2b9f1839d46435e85dd46071603a0ea","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",67
"4f63afdb96f949e3b3f5159cf9291b6a","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-04T00:00:00Z/2021-12-05T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",68
"ff14a5bfe14143c1ab49ae621a81bd50","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-05T00:00:00Z/2021-12-06T00:00:00Z","air_temperature",2.6,"Celsius","NA","2022-03-08T13:34:06+0","a44e236f5dfb5d5fc5046bfa6eb2f477",73
"b1ad3321a52944f49534a14fa6842b57","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-05T00:00:00Z/2021-12-06T00:00:00Z","air_temperature",-2.8,"Celsius","NA","2022-03-08T13:34:06+0","7c3133632ec1b4f1422d759c5c12fa26",75
"0c00fb3e750f4c639db3cf5a595bce3f","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-05T00:00:00Z/2021-12-06T00:00:00Z","air_temperature",-0.2,"Celsius","NA","2022-03-08T13:34:06+0","35517ffca8eb8afca8b1e8140c51816f",77
"aedb3110da0945c6b566501ec8e91146","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-7","0-20000-0-47426","Feature","Point","[142.77666, 42.16166, 36.7]","2021-12-05T00:00:00Z/2021-12-06T00:00:00Z","total_accumulated_precipitation",-0.1,"kg m-2","NA","2022-03-08T13:34:06+0","0eaf7264a090d3487d6f4422c5306350",81
