"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"47449d5e7071450fbae44c2a49abdf1e","A_IOBH03LFPW071400_C_EDZW_20220307142102_97609116-1","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-07T14:10:00Z","duration_of_wave_record",2400.0,"s","NA","2022-03-08T14:41:16+0","4dc9e7e0489371a7d1d0afd34fb554b5",32
"acd1d4838dd945e9ac2d7cf53b4c8e1d","A_IOBH03LFPW071400_C_EDZW_20220307142102_97609116-1","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-07T14:10:00Z","significant_wave_height",0.4,"m","NA","2022-03-08T14:41:16+0","4dc9e7e0489371a7d1d0afd34fb554b5",33
"ad05004513b54730bab677c1af9d51bd","A_IOBH03LFPW071400_C_EDZW_20220307142102_97609116-1","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-07T14:10:00Z","maximum_wave_height",0.6,"m","NA","2022-03-08T14:41:16+0","4dc9e7e0489371a7d1d0afd34fb554b5",34
"12385dafc7ef48e68c45e83d7f571108","A_IOBH03LFPW071400_C_EDZW_20220307142102_97609116-1","0-20002-0-1400011","Feature","Point","[55.27732, -20.94572]","2022-03-07T14:10:00Z","average_wave_period",6.0,"s","NA","2022-03-08T14:41:16+0","4dc9e7e0489371a7d1d0afd34fb554b5",35
