"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"1be519ef6c8545a8a99909346b7ea2c6","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",11.6,"Celsius","NA","2022-03-08T13:34:05+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"4023ec5b13324bd0a404bca8b2c83b43","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",-1.2,"Celsius","NA","2022-03-08T13:34:05+0","7c3133632ec1b4f1422d759c5c12fa26",15
"d4ff32b6dda948899e76555b60ff00b3","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",5.8,"Celsius","NA","2022-03-08T13:34:05+0","35517ffca8eb8afca8b1e8140c51816f",17
"ed663af1908a440b8e71cf060a8bc926","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",20.0,"kg m-2","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",21
"c2c29ca504284acfa3aea128cf24c83b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.02,"m","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",22
"6d845724fad8444d852e9e23a6d69cfc","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.01,"m","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",23
"9f9d499a259146bdba755cb1d23e6a9b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",2.7,"Celsius","NA","2022-03-08T13:34:05+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"129e07b2370247a0b8f0d65a55cfe7d4","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",-2.9,"Celsius","NA","2022-03-08T13:34:05+0","7c3133632ec1b4f1422d759c5c12fa26",30
"354eae5df6a640fea33af8a16497d624","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",-0.6,"Celsius","NA","2022-03-08T13:34:05+0","35517ffca8eb8afca8b1e8140c51816f",32
"30887ccc75684cbd9cf1e9218a48bbc0","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-6","0-20000-0-47421","Feature","Point","[140.22333, 42.795, 33.4]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",3.5,"kg m-2","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",36
