"feature.id","record.id","record.station_id.wsi","feature.type","feature.geometry.type","feature.geometry.coordinates","feature.properties.phenomenonTime","feature.properties.key","feature.properties.value","feature.properties.units","feature.properties.description","feature.properties.resultTime","feature.properties.metadata","feature.properties.index"
"5aca521b805e47f5b11d1c31fa800774","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",12.2,"Celsius","NA","2022-03-08T13:34:05+0","a44e236f5dfb5d5fc5046bfa6eb2f477",13
"3c29b7150680417c8890eb013ae2ea9c","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",6.0,"Celsius","NA","2022-03-08T13:34:05+0","7c3133632ec1b4f1422d759c5c12fa26",15
"65f54e4e1d804403ba9534a74e96b507","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","air_temperature",10.3,"Celsius","NA","2022-03-08T13:34:05+0","35517ffca8eb8afca8b1e8140c51816f",17
"a57aaa5fadf64b0681674072c15cb050","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_accumulated_precipitation",23.5,"kg m-2","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",21
"af971703aa77456dbf502f7f15b4311b","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","depth_of_fresh_snow",0.0,"m","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",22
"6b4b200935c44a52a265feb0e846990d","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-01T00:00:00Z/2021-12-02T00:00:00Z","total_snow_depth",0.0,"m","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",23
"30ccf7a4a136404e89e6e6127c60875d","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",6.1,"Celsius","NA","2022-03-08T13:34:05+0","a44e236f5dfb5d5fc5046bfa6eb2f477",28
"7109a75d03a843a4b308d6ed001e7461","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",-0.2,"Celsius","NA","2022-03-08T13:34:05+0","7c3133632ec1b4f1422d759c5c12fa26",30
"11919d7549114b9aaa6771af20e11a5a","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","air_temperature",2.8,"Celsius","NA","2022-03-08T13:34:05+0","35517ffca8eb8afca8b1e8140c51816f",32
"076dbcec325843c1b9b29ddde001c2e7","A_ISCC60RJTD030000_C_EDZW_20220103010201_27953104-5","0-20000-0-47420","Feature","Point","[145.585, 43.33, 25.2]","2021-12-02T00:00:00Z/2021-12-03T00:00:00Z","total_accumulated_precipitation",0.0,"kg m-2","NA","2022-03-08T13:34:05+0","0eaf7264a090d3487d6f4422c5306350",36
